,Sequence #1,Sequence #2,Sequence #3,Sequence #4,Sequence #5,Sequence #6,Sequence #7,Sequence #8,Sequence #9,Sequence #10,Sequence #11,Sequence #12,Sequence #13,Sequence #14,Sequence #15,Sequence #16,Sequence #17,Sequence #18,Sequence #19,Sequence #20,Sequence #21,Sequence #22,Sequence #23,Sequence #24,Sequence #25,Sequence #26,Sequence #27,Sequence #28,Sequence #29,Sequence #30,Sequence #31,Sequence #32,Sequence #33,Sequence #34,Sequence #35,Sequence #36,Sequence #37,Sequence #38,Sequence #39,Sequence #40,Sequence #41,Sequence #42,Sequence #43,Sequence #44,Sequence #45,Sequence #46,Sequence #47,Sequence #48,Sequence #49,Sequence #50,Sequence #51,Sequence #52,Sequence #53,Sequence #54,Sequence #55,Sequence #56,Sequence #57,Sequence #58,Sequence #59,Sequence #60,Sequence #61,Sequence #62,Sequence #63,Sequence #64,Sequence #65,Sequence #66,Sequence #67,Sequence #68,Sequence #69,Sequence #70,Sequence #71,Sequence #72,Sequence #73,Sequence #74,Sequence #75,Sequence #76,Sequence #77,Sequence #78,Sequence #79,Sequence #80,Sequence #81,Sequence #82,Sequence #83,Sequence #84,Sequence #85,Sequence #86,Sequence #87,Sequence #88,Sequence #89,Sequence #90,Sequence #91,Sequence #92,Sequence #93,Sequence #94,Sequence #95,Sequence #96,Sequence #97,Sequence #98,Sequence #99,Sequence #100,Sequence #101,Sequence #102,Sequence #103,Sequence #104,Sequence #105,Sequence #106,Sequence #107,Sequence #108,Sequence #109,Sequence #110,Sequence #111,Sequence #112,Sequence #113,Sequence #114,Sequence #115,Sequence #116,Sequence #117,Sequence #118,Sequence #119,Sequence #120,Sequence #121,Sequence #122,Sequence #123,Sequence #124,Sequence #125,Sequence #126,Sequence #127,Sequence #128,Sequence #129,Sequence #130,Sequence #131,Sequence #132,Sequence #133,Sequence #134,Sequence #135,Sequence #136,Sequence #137,Sequence #138,Sequence #139,Sequence #140,Sequence #141,Sequence #142,Sequence #143,Sequence #144,Sequence #145,Sequence #146,Sequence #147,Sequence #148,Sequence #149,Sequence #150,Sequence #151,Sequence #152,Sequence #153,Sequence #154,Sequence #155,Sequence #156,Sequence #157,Sequence #158,Sequence #159,Sequence #160,Sequence #161,Sequence #162,Sequence #163,Sequence #164,Sequence #165,Sequence #166,Sequence #167,Sequence #168,Sequence #169,Sequence #170,Sequence #171,Sequence #172,Sequence #173,Sequence #174,Sequence #175,Sequence #176,Sequence #177,Sequence #178
Sequence #41,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9688,0.9688,0.9688,0.9688,0.9844,0.9688,0.9844,0.9688,0.9844,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,0.9688,1.0000,1.0000,0.9844,0.9844,0.9688,1.0000,1.0000,0.9688,0.9688,0.9688,0.9844,0.9844,1.0000,1.0000,0.9844,0.9844,1.0000,1.0000,0.9375,0.9688,0.9844,0.9844,0.9531,0.9531,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,0.9688,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9531,1.0000,1.0000,0.9844,1.0000,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,0.9846,0.9844,0.9846,0.9846,0.9846,0.9692,0.9846,0.9846,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000
Sequence #42,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9688,0.9688,0.9688,0.9688,1.0000,0.9844,0.9844,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9844,0.9844,1.0000,1.0000,0.9688,0.9688,0.9844,0.9844,0.9844,0.9844,1.0000,0.9688,0.9844,0.9844,1.0000,0.9688,0.9688,0.9841,0.9844,0.9531,0.9531,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9688,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,0.9688,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9688,1.0000,1.0000,0.9844,1.0000,1.0000,0.9846,0.9844,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,0.9846,0.9844,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Sequence #43,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,0.9841,0.9688,0.9688,0.9688,0.9688,0.9531,0.9688,1.0000,0.9841,0.9688,0.9531,0.9688,0.9375,0.9841,0.9524,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,1.0000,0.9688,0.9688,0.9688,0.9688,1.0000,0.9688,0.9688,0.9688,0.9841,0.9844,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,0.9844,0.9844,0.9688,1.0000,1.0000,0.9688,0.9688,0.9688,0.9844,0.9844,0.9846,1.0000,0.9844,0.9844,0.9688,1.0000,0.9688,0.9688,0.9844,0.9844,0.9531,0.9531,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,0.9688,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9688,1.0000,1.0000,0.9844,1.0000,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,0.9846,0.9844,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000
Sequence #44,0.9688,0.9688,0.9841,1.0000,0.9688,0.9531,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9841,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9841,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9841,0.9538,0.9538,0.9538,0.9538,0.9538,0.9538,0.9538,0.9688,0.9538,0.9688,0.9688,0.9688,0.9688,1.0000,0.9688,0.9688,0.9844,0.9844,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9844,0.9844,1.0000,1.0000,0.9688,0.9688,0.9844,0.9844,0.9844,0.9846,1.0000,0.9844,0.9844,1.0000,1.0000,0.9688,0.9688,0.9844,0.9844,0.9531,0.9531,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9688,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,0.9844,0.9688,1.0000,1.0000,0.9844,1.0000,1.0000,0.9846,1.0000,0.9844,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,0.9844,0.9846,0.9844,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,0.9692,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Sequence #45,0.9688,0.9688,0.9688,0.9688,0.9531,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,1.0000,0.9531,0.9688,0.9844,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9688,1.0000,1.0000,1.0000,1.0000,1.0000,0.9688,0.9844,1.0000,1.0000,1.0000,0.9688,0.9688,0.9531,0.9844,0.9844,0.9846,1.0000,0.9844,0.9844,0.9844,1.0000,0.9688,0.9688,0.9844,0.9844,0.9375,0.9531,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9846,0.9844,1.0000,0.9844,1.0000,0.9688,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9688,0.9844,0.9844,0.9844,1.0000,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,0.9846,0.9844,0.9846,0.9846,0.9692,0.9846,0.9846,0.9846,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,0.9844
Sequence #46,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9531,1.0000,0.9844,0.9844,0.9844,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9844,0.9844,1.0000,1.0000,0.9841,0.9688,1.0000,0.9844,0.9844,0.9846,1.0000,0.9844,0.9844,1.0000,1.0000,0.9688,0.9688,0.9844,0.9844,0.9524,0.9531,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9688,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9688,1.0000,1.0000,0.9844,1.0000,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,0.9846,0.9844,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Sequence #47,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9688,0.9531,0.9688,0.9844,0.9844,0.9844,0.9844,0.9688,0.9844,0.9841,1.0000,0.9844,0.9688,0.9844,0.9531,1.0000,0.9375,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9841,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,1.0000,0.9841,0.9844,0.9688,0.9844,1.0000,0.9844,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9844,1.0000,0.9844,1.0000,0.9688,0.9688,0.9375,0.9844,0.9844,0.9846,1.0000,0.9844,0.9844,1.0000,1.0000,0.9688,0.9688,0.9844,0.9844,0.9531,0.9531,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9688,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,0.9844,0.9688,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Sequence #48,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9688,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9688,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9688,0.9692,0.9692,0.9692,0.9692,0.9692,0.9692,0.9692,0.9844,0.9692,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9688,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,1.0000,0.9844,0.9688,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9844,0.9688,1.0000,1.0000,0.9688,0.9688,0.9844,0.9844,0.9844,0.9846,1.0000,0.9844,0.9844,1.0000,1.0000,0.9531,0.9688,0.9844,0.9844,0.9683,0.9531,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9688,1.0000,1.0000,1.0000,0.9844,0.9844,1.0000,1.0000,1.0000,1.0000,0.9844,0.9688,1.0000,1.0000,0.9844,1.0000,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,0.9846,0.9844,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Sequence #49,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,1.0000,0.9844,0.9844,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9844,0.9844,1.0000,1.0000,0.9688,0.9688,0.9844,0.9844,0.9844,0.9846,1.0000,0.9844,0.9844,1.0000,1.0000,0.9375,0.9688,1.0000,0.9844,0.9531,0.9531,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9688,0.9844,1.0000,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9688,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Sequence #50,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9688,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9688,0.9844,1.0000,1.0000,1.0000,0.9844,1.0000,0.9688,0.9844,1.0000,0.9846,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9844,0.9844,0.9531,1.0000,1.0000,0.9688,0.9688,0.9844,0.9844,0.9844,1.0000,1.0000,0.9688,0.9844,1.0000,1.0000,0.9688,0.9688,0.9841,0.9844,0.9531,0.9531,1.0000,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9688,1.0000,1.0000,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9688,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Sequence #51,1.0000,0.9844,1.0000,0.9688,0.9844,0.9531,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9688,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9688,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,0.9844,0.9844,1.0000,1.0000,1.0000,0.9688,0.9688,0.9844,0.9844,0.9844,0.9846,1.0000,0.9844,0.9844,1.0000,1.0000,0.9841,0.9688,0.9844,0.9844,0.9531,0.9531,1.0000,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9688,1.0000,1.0000,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9688,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000
Sequence #52,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9844,1.0000,1.0000,1.0000,0.9688,0.9688,0.9844,0.9844,0.9844,1.0000,1.0000,0.9844,0.9844,1.0000,1.0000,0.9688,0.9688,0.9688,0.9844,0.9531,0.9531,1.0000,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9688,1.0000,1.0000,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9688,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000
Sequence #53,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9688,0.9844,1.0000,1.0000,1.0000,0.9688,0.9688,0.9844,0.9844,0.9688,1.0000,1.0000,0.9844,0.9844,0.9844,1.0000,0.9688,0.9688,0.9844,0.9844,0.9531,0.9531,1.0000,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,0.9688,1.0000,1.0000,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9688,0.9844,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Sequence #54,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,0.9844,1.0000,0.9688,0.9844,1.0000,0.9844,1.0000,0.9688,0.9844,0.9531,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9688,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9688,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9692,0.9844,1.0000,1.0000,1.0000,0.9841,0.9688,0.9844,0.9844,0.9844,1.0000,1.0000,0.9844,0.9844,1.0000,1.0000,0.9688,0.9688,0.9844,0.9844,0.9531,0.9531,1.0000,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,0.9846,1.0000,0.9688,1.0000,1.0000,1.0000,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9688,0.9846,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,0.9846,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9844,1.0000,1.0000,1.0000,1.0000
